0,0,0,1.4 QV TCT,2015,8801479,NPR417
1,0,0,1.3 JTD City,2016,7131082,OMK812
2,0,0,1.4 T MultiAir TCT,2014,7596477,JNZ472
3,0,0,1.4 T MultiAir TCT City,2014,3589447,RPD227
4,0,0,1.4 T MultiAir TCT Sportivo,2014,1821860,OTU326
5,0,0,1.3 JTD City,2014,6514988,WIN717
6,0,0,1.4 T MultiAir Quadrifoglio Verde,2013,3822165,QAF684
7,0,0,1.4 T MultiAir TCT,2013,1076078,FLU772
8,0,0,1.4 T MultiAir TCT City,2013,3954807,DSE632
9,0,0,1.4 T MultiAir TCT Sportivo,2013,4156155,SDH547
10,0,0,1.3 JTD City,2013,5860915,JSB945
11,0,0,1.4 T MultiAir Quadrifoglio Verde,2012,9307438,YMH737
12,0,0,1.4 T MultiAir TCT,2012,9293754,EFW612
13,0,0,1.4 T MultiAir TCT City,2012,9703709,KQR372
14,0,0,1.4 T MultiAir TCT Sportivo,2012,5203758,QHH269
15,0,0,1.4 T MultiAir Quadrifoglio Verde,2012,3394948,GCA861
16,0,0,1.4 T MultiAir TCT,2011,2561259,EWG378
17,0,0,1.4 T MultiAir TCT City,2011,7440009,HRC223
18,0,0,1.4 T MultiAir TCT Sportivo,2011,7837286,GOP366
19,0,0,1.6 JTD Distinctive,2011,7428892,GTK859
20,0,0,1.4 Progression,2011,3241900,OIP863
21,0,0,1.4 T MultiAir Quadrifoglio Verde,2010,8368091,YRB562
22,0,0,1.4 TB Distinctive,2010,9204460,SPD511
23,0,0,1.6 JTD Distinctive,2010,2583676,SZY394
24,0,0,1.4 Multiair Distinctive TCT,2010,3160266,BXL745
25,0,2,1.4 Progression Plus,2015,2676806,LLR493
26,0,2,1.6 JTD Distinctive,2015,9460413,ERE692
27,0,2,1.6 JTD Progression Plus,2015,5552444,ICG727
28,0,2,1.4 Multiair Distinctive TCT,2015,1450271,CQM953
29,0,2,1.4 Progression Plus,2016,4831423,EOZ767
30,0,2,1.6 JTD Distinctive,2016,1185955,NML683
31,0,2,1.6 JTD Progression Plus,2016,7001735,SFN837
