,0,140,143,202,Négykerék,0,Dizel,Automata,1,5,13,9,1233188
,1,140,143,202,Elsõ,1,Benzin,Automata,0,3,11,8,2200291
,2,140,143,202,Elsõ,1,Benzin,Manuális,0,1,11,8,8283750
,3,140,143,202,Négykerék,0,Bioetanol,Automata,0,1,11,8,3508766
,4,140,143,202,Négykerék,1,Dizel,Automata,0,5,11,8,2582945
,5,91,17,62,Négykerék,1,Dizel,Manuális,1,3,15,9,9476856
,6,91,17,62,Négykerék,1,Dizel,Automata,0,5,14,9,4203602
,7,201,221,191,Négykerék,1,Benzin,Automata,1,1,18,13,876271
,8,201,221,191,Négykerék,0,Bioetanol,Automata,1,4,17,12,1692913
,9,147,96,34,Négykerék,0,Bioetanol,Manuális,1,5,11,8,2041576
,10,147,96,34,Négykerék,0,Bioetanol,Automata,0,4,11,9,4773022
,11,147,96,34,Négykerék,0,Dizel,Automata,1,4,14,9,3019747
,12,172,63,87,Elsõ,0,Bioetanol,Automata,1,5,12,8,7797813
,13,172,63,87,Négykerék,0,Bioetanol,Automata,0,3,13,9,8158126
,14,226,243,201,Négykerék,1,Bioetanol,Automata,0,5,20,14,8860349
,15,226,243,201,Négykerék,1,Dizel,Automata,0,5,20,14,8819024
,16,148,12,191,Négykerék,0,Dizel,Automata,1,5,20,14,9514762
,17,148,12,191,Négykerék,1,Dizel,Automata,0,4,20,14,3028263
,18,112,22,181,Hátsó,1,Bioetanol,Manuális,1,3,13,9,2624347
,19,112,140,181,Hátsó,1,Bioetanol,Manuális,0,4,13,9,5758563
,20,120,140,181,Hátsó,0,Bioetanol,Automata,1,3,13,9,2821292
,21,112,22,181,Hátsó,1,Bioetanol,Manuális,1,4,13,9,7573238
,22,112,140,181,Hátsó,1,Benzin,Manuális,0,1,13,9,8230802
,23,120,140,181,Hátsó,0,Dizel,Automata,0,5,13,9,2661083
,24,112,22,181,Hátsó,1,Dizel,Manuális,1,2,13,9,2881921
,25,112,140,181,Hátsó,0,Dizel,Manuális,0,5,12,9,924699
,26,120,140,181,Hátsó,1,Dizel,Automata,0,1,13,9,4358744
,27,77,60,219,Hátsó,0,Benzin,Automata,0,1,18,13,3219580
,28,77,60,219,Négykerék,0,Dizel,Automata,0,5,26,20,6620200
,29,77,60,219,Hátsó,1,Benzin,Automata,0,3,18,14,4137240
,30,77,60,219,Négykerék,0,Dizel,Automata,0,4,18,14,7772721
,31,22,60,219,Hátsó,1,Dizel,Automata,1,3,29,20,9310257
,32,22,60,219,Hátsó,1,Dizel,Automata,0,5,29,20,518623
,33,24,60,224,Hátsó,1,Benzin,Automata,1,3,24,18,5905593
,34,24,60,224,Négykerék,1,Benzin,Automata,0,4,18,14,951125
,35,77,102,237,Hátsó,0,Benzin,Automata,0,4,16,12,7936868
,36,82,215,240,Hátsó,1,Bioetanol,Automata,0,3,17,12,883157
,37,85,215,237,Hátsó,1,Benzin,Automata,0,3,16,12,388420
,38,85,215,237,Hátsó,0,Benzin,Automata,0,5,16,12,7842740
,39,77,102,237,Hátsó,0,Bioetanol,Automata,1,2,16,12,1677509
,40,82,215,240,Hátsó,0,Benzin,Automata,0,5,17,12,1764422
,41,43,52,52,Hátsó,1,Dizel,Manuális,1,1,13,9,480185
,42,35,75,52,Hátsó,0,Bioetanol,Manuális,1,5,13,9,4718941
,43,35,75,52,Hátsó,1,Benzin,Manuális,1,5,13,9,1284320
,44,167,168,247,Elsõ,0,Benzin,Manuális,0,1,11,8,4822731
,45,167,168,247,Elsõ,0,Benzin,Automata,1,1,11,8,7451202
,46,167,155,247,Elsõ,1,Dizel,Automata,1,2,11,8,8341177
,47,167,155,247,Elsõ,0,Dizel,Manuális,0,1,11,8,6053016
,48,193,34,107,Hátsó,0,Bioetanol,Automata,0,3,26,16,7335057
,49,99,195,153,Négykerék,0,Bioetanol,Automata,0,4,29,17,4609970
,50,110,199,153,Négykerék,0,Benzin,Automata,0,1,29,17,3870331
,51,99,195,153,Négykerék,0,Dizel,Automata,1,2,29,17,2020031
,52,99,195,153,Négykerék,1,Benzin,Automata,1,1,20,12,3236999
,53,118,170,184,Négykerék,1,Dizel,Automata,0,2,29,18,265041
,54,108,170,184,Négykerék,0,Bioetanol,Automata,1,4,21,12,1412465
,55,185,170,184,Négykerék,0,Dizel,Automata,1,5,24,14,4028732
,56,185,170,184,Négykerék,1,Bioetanol,Automata,1,2,24,14,7287530
,57,195,170,184,Négykerék,1,Benzin,Automata,1,5,24,14,8967989
,58,120,7,44,Elsõ,1,Bioetanol,Automata,1,3,12,8,9529435
,59,119,230,44,Elsõ,1,Bioetanol,Manuális,0,3,12,8,3833322
,60,119,230,44,Elsõ,0,Benzin,Automata,0,4,12,8,6677929
,61,172,123,234,Elsõ,0,Benzin,Manuális,1,4,11,8,2657906
,62,172,123,234,Elsõ,0,Dizel,Automata,1,3,11,8,2194410
,63,172,123,234,Elsõ,0,Dizel,Automata,0,4,11,8,7934719
,64,190,123,234,Négykerék,0,Dizel,Manuális,1,1,12,9,7382005
,65,203,19,72,Elsõ,1,Bioetanol,Automata,0,2,12,8,5523038
,66,203,19,72,Négykerék,1,Dizel,Automata,1,5,13,9,4565736
,67,203,19,72,Négykerék,1,Dizel,Automata,1,2,13,9,5227089
,68,203,14,72,Négykerék,0,Bioetanol,Automata,0,5,13,9,1532077
,69,213,243,69,Elsõ,0,Benzin,Automata,0,4,12,9,714950
,70,213,243,69,Négykerék,1,Dizel,Automata,1,5,16,11,5095839
,71,213,243,69,Négykerék,1,Dizel,Automata,0,1,15,10,3541635
,72,213,243,69,Elsõ,0,Benzin,Automata,0,3,13,9,2257149
,73,177,169,234,Elsõ,0,Dizel,Automata,0,2,11,8,7129918
,74,193,169,234,Négykerék,1,Dizel,Manuális,0,1,12,9,1243304
,75,177,169,234,Elsõ,0,Dizel,Automata,0,1,12,8,2685283
,76,175,19,97,Négykerék,1,Dizel,Automata,1,3,14,11,7818435
