,1,2,2,15,6,3,1,,,,
,2,3,2,15,7,3,1,,,,
,3,6,2,15,6,3,3,,,,
,4,7,2,10,6,4,4,,,,
,5,9,2,20,6,3,3,,,,
,6,10,1,0,6,1,4,,,,
,7,11,1,20,6,4,5,,,,
,8,13,2,20,7,3,1,,,,
,9,14,2,20,6,4,4,,,,
,10,15,1,10,6,2,2,,,,
,11,16,1,10,6,4,2,,,,
,12,18,1,0,7,1,5,,,,
,13,19,2,20,6,4,5,,,,
,14,20,2,0,7,3,5,,,,
,15,21,2,15,6,2,5,,,,
,16,23,1,10,7,2,5,,,,
,17,24,1,10,7,4,5,,,,
,18,25,2,10,6,1,5,,,,
,19,26,2,0,6,3,5,,,,
,20,27,1,10,7,2,5,,,,
,21,32,1,20,6,2,5,,,,
,22,34,2,0,7,2,5,,,,
,23,37,2,10,6,2,5,,,,
,24,39,2,0,7,4,5,,,,
,25,41,2,15,6,3,5,,,,
,26,42,2,20,7,4,5,,,,
,27,46,1,15,7,4,5,,,,
,28,47,2,15,7,3,5,,,,
,29,49,2,0,6,2,5,,,,
,30,52,1,20,7,3,5,,,,
,31,53,1,15,7,4,5,,,,
,32,61,1,0,6,3,5,,,,
,33,62,1,15,6,1,5,,,,
,34,63,1,0,6,4,5,,,,
,35,65,1,20,6,2,5,,,,
,36,66,2,15,6,3,5,,,,
,37,67,1,0,6,2,5,,,,
,38,68,1,15,7,1,5,,,,
,39,70,1,10,6,1,5,,,,
,40,72,1,20,6,4,5,,,,
,41,73,1,10,6,2,5,,,,
,42,74,2,10,6,3,5,,,,
,43,75,1,0,6,4,5,,,,
,44,76,1,20,7,1,2,,,,
,45,80,2,0,7,2,2,,,,
,46,82,2,10,6,2,1,,,,
,47,83,1,15,7,3,3,,,,
,48,86,1,15,6,4,1,,,,
,49,89,2,15,6,1,1,,,,
,50,90,1,15,6,2,2,,,,
,51,91,1,15,6,2,4,,,,
,52,95,1,15,6,4,1,,,,
,53,96,2,10,6,3,1,,,,
,54,100,1,20,6,3,4,,,,
,55,101,2,15,6,3,5,,,,
,56,104,2,15,6,3,2,,,,
,57,105,2,0,6,3,3,,,,
,58,106,2,10,6,3,4,,,,
,59,107,2,20,7,4,1,,,,
,60,110,1,0,7,3,5,,,,
,61,111,2,20,6,2,1,,,,
,62,113,1,15,7,4,3,,,,
,63,115,1,15,6,3,1,,,,
,64,118,1,0,6,3,1,,,,
,65,123,1,20,6,4,2,,,,
,66,127,2,0,7,4,3,,,,
,67,129,1,15,7,1,3,,,,
,68,130,1,10,6,4,5,,,,
,69,131,2,0,7,2,3,,,,
,70,134,1,15,6,1,2,,,,
,71,137,1,20,6,4,5,,,,
,72,141,2,10,7,1,2,,,,
,73,142,2,0,7,1,5,,,,
,74,144,2,0,6,4,1,,,,
,75,146,2,10,7,3,2,,,,
,76,149,2,20,7,4,2,,,,
,77,151,2,10,6,3,1,,,,
,78,155,1,10,6,1,2,,,,
,79,158,1,0,6,2,4,,,,
,80,160,1,20,6,4,5,,,,
,81,162,1,0,6,2,3,,,,
,82,163,2,15,6,4,5,,,,
,83,164,1,20,7,1,5,,,,
,84,165,1,20,7,3,4,,,,
,85,166,1,15,7,2,1,,,,
,86,167,1,0,6,4,1,,,,
,87,168,1,0,7,2,5,,,,
,88,169,2,15,6,3,3,,,,
,89,170,2,0,6,2,3,,,,
,90,171,1,15,6,2,4,,,,
,91,173,1,15,6,1,2,,,,
,92,174,1,10,6,1,1,,,,
,93,175,1,15,6,4,5,,,,
,94,177,2,20,7,1,1,,,,
